               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.047275,            0.056665,            0.013411,             0.96439,             0.22513,             0.25804,             0.13264,            0.032216,            0.059901,            0.010516,            0.002872,            0.002872,            0.002872
                  38,            0.042544,            0.053272,            0.011822,             0.96229,             0.22878,             0.25805,             0.13985,            0.028245,             0.05916,            0.010529,            0.002674,            0.002674,            0.002674
                  39,            0.045865,            0.055367,            0.012175,             0.96539,             0.22878,             0.25941,             0.14163,             0.03194,            0.058481,            0.010464,            0.002476,            0.002476,            0.002476
                  40,            0.037881,            0.052016,            0.010932,             0.96901,             0.22961,             0.25981,             0.14679,            0.029194,            0.057449,            0.010428,            0.002278,            0.002278,            0.002278
                  41,             0.04482,            0.055757,            0.011885,             0.96492,             0.23158,             0.25991,             0.14517,            0.030155,            0.058163,            0.010455,             0.00208,             0.00208,             0.00208
                  42,            0.040395,            0.055012,            0.011141,             0.96471,             0.23176,             0.26178,             0.14911,            0.030383,            0.057041,            0.010437,            0.001882,            0.001882,            0.001882
                  43,            0.041411,            0.055407,            0.010992,             0.96526,             0.23012,             0.26419,              0.1518,            0.028686,             0.05649,            0.010403,            0.001684,            0.001684,            0.001684
                  44,             0.03701,             0.05319,             0.01117,             0.96652,             0.23044,             0.26499,             0.15699,            0.026134,            0.055742,            0.010361,            0.001486,            0.001486,            0.001486
                  45,            0.042256,            0.056007,            0.010472,             0.96639,             0.22911,               0.264,             0.15053,             0.02671,            0.055947,            0.010291,            0.001288,            0.001288,            0.001288
                  46,            0.039767,            0.052689,             0.01422,             0.96729,             0.22944,             0.26585,             0.15536,            0.026119,            0.055461,             0.01026,             0.00109,             0.00109,             0.00109
                  47,            0.040512,            0.051911,            0.013426,             0.96878,             0.23011,             0.26801,             0.16037,            0.025876,            0.055137,            0.010214,            0.000892,            0.000892,            0.000892
                  48,            0.038357,            0.055692,            0.010786,             0.96833,             0.22977,             0.26935,             0.15928,            0.025716,            0.054994,            0.010184,            0.000694,            0.000694,            0.000694
                  49,            0.032885,            0.052248,            0.011532,             0.96758,             0.22918,              0.2686,             0.16152,            0.025564,            0.055033,            0.010168,            0.000496,            0.000496,            0.000496
